,1,2,3,4,5,6,7
units_LSTM,20,20,20,20,20,20,20
layers_LSTM,1,1,1,1,1,1,1
dropout_LSTM,0.2,0.2,0.2,0.2,0.2,0.2,0.2
recurrent_dropout_LSTM,0,0,0,0,0,0,0
kernel_regularizer_LSTM,None,None,None,None,None,None,None
recurrent_regularizer_LSTM,None,None,None,None,None,None,None
bais_regularizer_LSTM,None,None,None,None,None,None,None
activity_regularizer_LSTM,None,None,None,None,None,None,None
units_DENSE,50,50,50,50,50,50,50
layers_DENSE,1,1,1,1,1,1,1
dropout_DENSE,0.4,0.4,0.4,0.4,0.4,0.4,0.4
kernel_regularizer_DENSE,None,None,None,None,None,None,None
bais_regularizer_DENSE,None,None,None,None,None,None,None
activity_regularizer_DENSE,None,None,None,None,None,None,None
lag_value,48,48,48,48,48,48,48
nb_epoch,2,2,2,2,2,2,2
activation,relu,relu,relu,relu,relu,relu,relu
batch_size_parameter,48,48,48,48,48,48,48
learning_rate,0.01,0.005,0.002,0.001,0.0001,1e-05,1e-06
patience,0,0,0,0,0,0,0
shuffle,True,True,True,True,True,True,True
repeat,3,3,3,3,3,3,3
