date,closest_day_forecast,base_forecast: 1 day(s),base_forecast: 7 day(s),mean_forecast,MAPE_forecast,real_values
2017-12-01 00:00:00,0.05,0.016,0.056,0.03869767441860465,0.020500000224755878,
2017-12-01 00:30:00,0.009,0.064,0.028,0.03899999999999999,0.018900000264155357,
2017-12-01 01:00:00,0.009,0.01,0.009,0.03890697674418604,0.02230000014188519,
2017-12-01 01:30:00,0.009,0.009,0.02,0.02811627906976744,0.014642857192839665,
2017-12-01 02:00:00,0.075,0.009,0.064,0.036418604651162784,0.022833333408818778,
2017-12-01 02:30:00,0.046,0.055,0.057,0.03690697674418604,0.01916666677449414,
2017-12-01 03:00:00,0.061,0.093,0.039,0.03174418604651162,0.01737500008281808,
2017-12-01 03:30:00,0.06,0.021,0.024,0.030279069767441862,0.020000000061530427,
2017-12-01 04:00:00,0.015,0.009,0.064,0.03995348837209302,0.022142857275704825,
2017-12-01 04:30:00,0.009,0.023,0.064,0.05146511627906976,0.02319047651604626,
2017-12-01 05:00:00,0.008,0.062,0.02,0.03209302325581396,0.01828571434903397,
2017-12-01 05:30:00,0.009,0.061,0.009,0.037232558139534876,0.02041666671858141,
2017-12-01 06:00:00,0.01,0.022,0.011,0.05741860465116279,0.022406250084318253,
2017-12-01 06:30:00,0.022,0.009,0.041,0.05588372093023255,0.02607142864231841,
2017-12-01 07:00:00,0.063,0.01,0.057,0.06590697674418604,0.024362069007737432,
2017-12-01 07:30:00,0.022,0.008,0.009,0.06774418604651164,0.021666666873705987,
2017-12-01 08:00:00,0.009,0.012,0.009,0.05669767441860465,0.02220000023013866,
2017-12-01 08:30:00,0.008,0.063,0.122,0.06246511627906977,0.024523809581452286,
2017-12-01 09:00:00,0.009,0.03,0.086,0.05874418604651161,0.023187500136473454,
2017-12-01 09:30:00,0.061,0.01,0.038,0.04534883720930232,0.021416666871987143,
2017-12-01 10:00:00,0.025,0.009,0.009,0.035325581395348825,0.01766666677936422,
2017-12-01 10:30:00,0.067,0.009,0.015,0.03381395348837208,0.019000000069962508,
2017-12-01 11:00:00,0.024,0.163,0.062,0.03493023255813953,0.020166666720719185,
2017-12-01 11:30:00,0.009,0.189,0.023,0.03323255813953488,0.02100000004877277,
