date,closest_day_forecast,base_forecast: 1 day(s),base_forecast: 7 day(s),mean_forecast,MAPE_forecast,real_values
2017-12-01 00:00:00,0.205,0.1275,0.324,0.1876630434782609,0.1621309475795739,0.1425
2017-12-01 00:30:00,0.128,0.1335,0.326,0.16952173913043478,0.14989285713846143,0.121
2017-12-01 01:00:00,0.1575,0.117,0.2755,0.16107608695652176,0.151607129608859,0.07
2017-12-01 01:30:00,0.1475,0.1205,0.33,0.1547826086956522,0.12600000010693763,0.134
2017-12-01 02:00:00,0.2,0.063,0.3295,0.1631304347826087,0.1494166619932271,0.105
2017-12-01 02:30:00,0.1505,0.0925,0.346,0.1545543478260869,0.13980555339614714,0.1455
2017-12-01 03:00:00,0.1705,0.159,0.337,0.15350000000000003,0.1138437744031126,0.087
2017-12-01 03:30:00,0.068,0.158,0.3125,0.1556413043478261,0.1444062369549709,0.09
2017-12-01 04:00:00,0.119,0.129,0.168,0.1715326086956522,0.14532142876218812,0.1
2017-12-01 04:30:00,0.073,0.115,0.071,0.14752173913043473,0.11500000036468375,0.152
2017-12-01 05:00:00,0.1615,0.1785,0.1435,0.17821739130434783,0.17483332974439086,0.1735
2017-12-01 05:30:00,0.14,0.101,0.1075,0.18966304347826088,0.13483333377090317,0.1775
2017-12-01 06:00:00,0.2665,0.1935,0.2495,0.3408152173913044,0.19419445260681367,0.2345
2017-12-01 06:30:00,0.1655,0.1835,0.3275,0.29796739130434785,0.2597499949689281,0.191
2017-12-01 07:00:00,0.461,0.8640000000000001,0.3075,0.4493478260869566,0.2124166694727784,0.1655
2017-12-01 07:30:00,0.156,0.5735,0.6679999999999999,0.40813043478260874,0.19675000273525894,0.355
2017-12-01 08:00:00,0.211,0.2635,1.3119999999999998,0.5186956521739132,0.20547222393028644,0.9365
2017-12-01 08:30:00,0.239,0.211,0.303,0.5091304347826087,0.21450000168797592,0.4015
2017-12-01 09:00:00,0.409,0.084,0.4065,0.4097826086956522,0.152750002979902,0.158
2017-12-01 09:30:00,0.643,0.1025,0.301,0.3712065217391303,0.1949166675625534,0.433
2017-12-01 10:00:00,0.1755,0.1115,0.3225,0.3649021739130435,0.16342857209123643,0.401
2017-12-01 10:30:00,0.0755,0.1365,0.2995,0.27469565217391306,0.18880769037848166,0.3695
2017-12-01 11:00:00,0.142,0.125,0.3435,0.2549347826086956,0.12675000158164465,0.3175
2017-12-01 11:30:00,0.1445,0.1525,0.3795,0.28660869565217384,0.14485416708983526,0.31
